Timestamp,Temperature,Humidity,Soil Moisture,Rain Status,Pump Status
33:15.4,30.800002,47.9,70.30525,No,OFF
33:16.8,30.800002,47.9,70.37851,No,OFF
33:18.2,30.800002,47.8,70.76923,No,OFF
33:19.7,30.800002,47.9,66.17827,No,ON
33:21.1,30.800002,47.9,67.54579,No,ON
33:22.5,30.800002,47.9,68.42491,No,ON
33:24.0,30.800002,47.9,67.74115,No,ON
33:25.4,30.800002,47.9,61.807084,No,ON
33:26.8,30.800002,47.9,61.660564,No,ON
33:28.3,30.800002,47.9,60.68376,No,ON
33:29.7,30.800002,47.9,66.08059,No,ON
33:31.1,30.800002,47.9,57.77778,No,ON
33:32.6,30.800002,47.9,48.66911,No,ON
33:34.0,30.800002,47.9,46.910864,No,ON
33:35.4,30.800002,47.9,44.542124,No,ON
33:36.9,30.800002,47.9,36.67888,No,ON
33:38.3,30.800002,47.8,23.003664,No,ON
33:39.7,30.800002,47.8,0,No,ON
33:41.2,30.800002,47.9,44.737484,No,ON
33:42.6,30.800002,47.9,53.504276,No,ON
33:44.0,30.800002,47.9,0,No,ON
33:45.5,30.800002,47.9,58.4127,No,ON
33:46.9,30.800002,47.9,63.345548,No,ON
33:48.4,30.800002,47.9,59.389504,No,ON
33:49.8,30.800002,47.9,59.24298,No,ON
33:51.2,30.800002,47.9,57.33822,No,ON
33:52.7,30.800002,47.8,63.736268,No,ON
33:54.1,30.800002,47.8,68.18071,No,ON
33:55.5,30.800002,47.9,65.44567,No,ON
33:57.0,30.800002,47.8,64.61539,No,ON
33:58.4,30.800002,47.9,68.10745,No,ON
33:59.8,30.800002,47.9,69.10867,No,ON
34:01.3,30.800002,47.8,67.54579,No,ON
34:02.7,30.800002,47.8,67.71673,No,ON
34:04.1,30.800002,47.9,68.18071,No,ON
34:05.6,30.800002,47.9,67.00855,No,ON
34:07.0,30.800002,47.9,67.71673,No,ON
34:08.4,30.800002,47.8,67.39927,No,ON
34:09.9,30.800002,47.8,65.61661,No,ON
34:11.3,30.800002,47.8,67.49695,No,ON
34:12.7,30.800002,47.8,66.66667,No,ON
34:14.2,30.800002,47.9,66.61783,No,ON
34:15.6,30.800002,47.8,67.32601,No,ON
34:17.0,30.800002,47.8,65.93407,No,ON
34:18.5,30.800002,47.9,64.95727,No,ON
34:19.9,30.800002,47.9,74.45666,No,OFF
34:21.3,30.800002,47.9,72.28327,No,OFF
34:22.8,30.800002,47.8,71.990232,No,OFF
34:24.2,30.800002,47.8,70.28083,No,OFF
34:25.6,30.800002,47.9,69.914536,No,OFF
34:27.1,30.800002,47.9,68.66911,No,ON
34:28.5,30.800002,47.9,68.88889,No,ON
34:29.9,30.800002,47.9,67.69231,No,ON
34:31.4,30.800002,47.9,67.52137,No,ON
34:32.8,30.800002,47.8,67.350424,No,ON
34:34.2,30.800002,47.9,69.010992,No,ON
34:35.7,30.800002,47.8,53.137976,No,ON
34:36.9,30.800002,47.9,76.23932,No,OFF
34:38.3,30.800002,47.9,73.94383,No,OFF
34:39.8,30.800002,47.9,66.73993,No,ON
34:41.2,30.800002,47.9,67.66789,No,ON
34:42.6,30.800002,47.9,68.351656,No,ON
34:44.1,30.800002,47.8,67.54579,No,ON
34:45.5,30.800002,47.9,68.22955,No,ON
34:46.9,30.800002,47.9,68.00977,No,ON
34:48.4,30.800002,47.9,69.86569,No,OFF
34:49.8,30.800002,47.9,68.47375,No,ON
34:51.2,30.800002,47.9,69.25519,No,ON
34:52.7,30.800002,47.9,68.25397,No,ON
34:54.1,30.800002,47.9,67.71673,No,ON
34:55.5,30.800002,47.8,75.77534,No,OFF
34:57.0,30.800002,47.8,71.47742,No,OFF
34:58.4,30.800002,47.9,69.93895,No,OFF
34:59.8,30.800002,47.8,70.20757,No,OFF
35:01.3,30.800002,47.8,69.890116,No,OFF
35:02.7,30.800002,47.8,69.890116,No,OFF
35:04.1,30.800002,47.8,68.74237,No,ON
35:05.6,30.800002,47.8,69.59707,No,OFF
35:07.0,30.800002,47.8,68.62027,No,ON
35:08.4,30.800002,47.9,69.20635,No,ON
35:09.9,30.800002,47.8,68.98657,No,ON
35:11.3,30.800002,47.8,67.96093,No,ON
35:12.7,30.800002,47.8,67.88767,No,ON
35:14.2,30.800002,47.8,68.18071,No,ON
35:15.6,30.800002,47.8,68.351656,No,ON
35:17.0,30.800002,47.8,77.48474,No,OFF
35:18.5,30.800002,47.8,73.13798,No,OFF
35:19.9,30.800002,47.8,69.010992,No,ON
35:21.3,30.800002,47.8,73.308916,No,OFF
35:22.8,30.800002,47.8,74.82296,No,OFF
35:24.2,30.800002,47.8,73.26008,No,OFF
35:25.6,30.800002,47.8,72.2344368,No,OFF
35:27.1,30.800002,47.9,72.991452,No,OFF
35:28.5,30.800002,47.8,72.551896,No,OFF
35:29.9,30.800002,47.8,71.59951,No,OFF
35:31.4,30.800002,47.9,71.74603,No,OFF
35:32.8,30.800002,47.8,71.672776,No,OFF
35:34.2,30.800002,47.8,69.914536,No,OFF
35:35.7,30.800002,47.8,70.94017,No,OFF
35:37.1,30.800002,47.8,67.93651,No,ON
35:38.5,30.800002,47.8,67.22833,No,ON
35:40.0,30.800002,47.8,66.86203,No,ON
35:41.4,30.800002,47.8,67.54579,No,ON
35:42.8,30.800002,47.8,66.471308,No,ON
35:44.3,30.800002,47.8,66.22711,No,ON
35:45.7,30.800002,47.8,66.129424,No,ON
35:47.1,30.800002,47.8,71.40415,No,OFF
35:48.6,30.800002,47.8,70.84249,No,OFF
35:50.0,30.800002,47.8,68.08303,No,ON
35:51.4,30.800002,47.8,71.013432,No,OFF
35:52.9,30.800002,47.8,70.15873,No,OFF
35:54.3,30.800002,47.8,69.59707,No,OFF
35:55.7,30.800002,47.8,69.914536,No,OFF
35:57.2,30.800002,47.8,70.30525,No,OFF
35:58.6,30.800002,47.8,69.352872,No,ON
36:00.0,30.800002,47.8,69.69475,No,OFF
36:01.5,30.800002,47.8,69.69475,No,OFF
36:02.9,30.800002,47.8,68.52259,No,ON
36:04.3,30.800002,47.8,69.13309,No,ON
36:05.8,30.800002,47.8,69.25519,No,ON
36:07.5,30.800002,47.9,68.74237,No,ON
36:08.8,30.800002,47.9,68.00977,No,ON
36:10.3,30.800002,47.9,68.66911,No,ON
36:11.7,30.800002,47.9,68.00977,No,ON
36:13.1,30.800002,47.9,68.74237,No,ON
36:14.6,30.800002,47.9,68.05861,No,ON
36:16.0,30.800002,47.9,69.40171,No,ON
36:17.4,30.800002,47.9,68.22955,No,ON
36:18.9,30.800002,47.9,68.40049,No,ON
36:20.3,30.800002,47.8,67.93651,No,ON
36:22.1,30.800002,47.8,67.350424,No,ON
36:24.0,30.800002,47.8,67.88767,No,ON
36:25.4,30.9,47.8,66.08059,No,ON
36:27.2,30.9,47.8,67.81441,No,ON
36:28.7,30.800002,47.8,67.96093,No,ON
36:30.1,30.9,47.8,67.39927,No,ON
36:31.7,30.9,47.8,67.44811,No,ON
36:33.9,30.9,47.8,67.570208,No,ON
36:35.7,30.9,47.8,66.81319,No,ON
36:37.2,30.9,47.8,67.130648,No,ON
36:39.3,30.9,47.7,66.86203,No,ON
36:40.6,30.9,47.7,67.20391,No,ON
36:42.1,30.9,47.7,66.95971,No,ON
36:44.2,30.9,47.7,66.08059,No,ON
36:46.1,30.9,47.7,67.03297,No,ON
36:47.7,30.9,47.7,66.910868,No,ON
36:49.6,30.9,47.7,66.42247,No,ON
36:51.0,30.9,47.7,65.909648,No,ON
36:52.6,30.9,47.7,67.15507,No,ON
36:54.6,30.9,47.7,67.30159,No,ON
36:56.4,30.9,47.7,67.20391,No,ON
36:58.1,30.9,47.600004,66.78877,No,ON
36:59.9,30.9,47.7,66.691084,No,ON
37:01.3,30.9,47.7,66.44689,No,ON
37:02.7,30.9,47.7,66.42247,No,ON
37:03.9,30.9,47.7,66.471308,No,ON
37:05.2,30.9,47.7,66.76435,No,ON
37:06.4,30.9,47.7,66.22711,No,ON
37:07.6,30.9,47.600004,66.64225,No,ON
37:09.1,30.9,47.7,66.471308,No,ON
37:10.5,30.9,47.7,65.05495,No,ON
37:11.9,30.9,47.7,66.71551,No,ON
37:13.4,30.9,47.7,65.83639,No,ON
37:15.5,30.9,47.7,65.27473,No,ON
37:17.3,30.9,47.7,65.98291,No,ON
37:19.0,30.9,47.7,65.88523,No,ON
37:20.3,30.9,47.600004,65.95849,No,ON
37:22.0,30.9,47.600004,66.10501,No,ON
37:23.3,30.9,47.7,65.0061,No,ON
37:24.6,30.9,47.7,66.22711,No,ON
37:26.1,30.9,47.7,65.73871,No,ON
37:27.3,30.9,47.600004,66.05617,No,ON
37:28.5,30.9,47.7,66.42247,No,ON
37:29.9,30.9,47.7,67.570208,No,ON
37:31.2,30.9,47.7,76.89866,No,OFF
37:32.6,30.9,47.7,75.38461,No,OFF
37:34.0,30.9,47.7,73.431016,No,OFF
37:36.5,30.9,47.7,71.94139,No,OFF
37:37.9,30.9,47.7,71.72161,No,OFF
37:41.2,30.9,47.600004,71.3553136,No,OFF
37:42.7,30.9,47.7,71.550668,No,OFF
37:43.9,30.9,47.7,71.64835,No,OFF
37:45.1,30.9,47.7,70.86691,No,OFF
37:46.5,30.800002,47.7,70.793656,No,OFF
37:47.8,30.9,47.7,70.74481,No,OFF
37:49.0,30.9,47.7,70.30525,No,OFF
37:50.2,30.9,47.7,70.81807,No,OFF
37:52.2,30.9,47.7,67.47253,No,ON
37:53.7,30.9,47.7,61.929184,No,ON
37:55.3,30.9,47.7,65.88523,No,ON
37:57.8,30.9,47.7,66.129424,No,ON
37:59.2,30.9,47.7,64.00488,No,ON
38:00.7,30.9,47.7,64.908424,No,ON
38:02.1,30.9,47.7,64.029308,No,ON
38:03.5,30.9,47.7,65.76313,No,ON
38:05.4,30.800002,47.7,62.612944,No,ON
38:07.0,30.800002,47.7,63.663004,No,ON
38:08.5,30.9,47.7,60.1221,No,ON
38:09.9,30.9,47.7,61.318684,No,ON
38:11.1,30.9,47.7,61.587304,No,ON
38:12.3,30.800002,47.7,61.684984,No,ON
38:13.6,30.9,47.7,63.589744,No,ON
38:15.0,30.9,47.7,64.17583,No,ON
38:16.2,30.9,47.7,69.40171,No,ON
38:17.5,30.800002,47.7,0,No,ON
38:18.7,30.800002,47.7,0,No,ON
38:20.1,30.800002,47.7,52.722836,No,ON
38:21.4,30.800002,47.7,47.61905,No,ON
38:22.8,30.9,47.7,37.50916,No,ON
38:24.0,30.9,47.7,41.00122,No,ON
38:25.5,30.800002,47.7,34.920636,No,ON
38:26.9,30.800002,47.7,52.063496,No,ON
38:28.1,30.800002,47.7,52.649576,No,ON
38:29.5,30.800002,47.7,51.1599536,No,ON
38:31.0,30.800002,47.7,51.477412,No,ON
38:32.4,30.800002,47.7,42.39316,No,ON
38:33.8,30.800002,47.7,45.616608,No,ON
38:35.3,30.9,47.8,38.87668,No,ON
38:36.7,30.800002,47.8,42.515264,No,ON
38:38.9,30.800002,47.8,39.43834,No,ON
38:40.2,30.800002,47.8,28.71795,No,ON
38:41.6,30.800002,47.8,51.8192936,No,ON
38:42.9,30.9,47.8,54.285716,No,ON
38:44.3,30.800002,47.8,46.568984,No,ON
38:47.0,30.800002,47.8,40.7326,No,ON
38:48.4,30.800002,47.8,9.35287,No,ON
38:49.8,30.9,47.7,0,No,ON
38:51.0,30.800002,47.8,0,No,ON
38:52.3,30.800002,47.8,0,No,ON
38:53.7,30.800002,47.7,48.15629,No,ON
38:55.1,30.9,47.8,49.42613,No,ON
38:56.6,30.9,47.7,48.693528,No,ON
38:58.0,30.9,47.8,49.13309,No,ON
38:59.4,30.800002,47.8,0,No,ON
39:00.7,30.9,47.8,3.3699636,No,ON
39:01.9,30.9,47.7,43.345544,No,ON
39:03.1,30.9,47.7,32.527472,No,ON
39:04.4,30.800002,47.7,40.21978,No,ON
39:05.8,30.800002,47.7,40.39072,No,ON
39:07.2,30.9,47.8,38.38828,No,ON
39:08.7,30.9,47.7,44.737484,No,ON
39:10.1,30.800002,47.8,38.11966,No,ON
39:11.5,30.800002,47.8,44.981684,No,ON
39:12.8,30.800002,47.7,4.2735044,No,ON
39:14.0,30.800002,47.7,47.374848,No,ON
39:15.4,30.800002,47.7,38.1685,No,ON
39:16.7,30.800002,47.7,35.018316,No,ON
39:18.1,30.800002,47.7,53.992676,No,ON
39:19.3,30.9,47.7,51.941396,No,ON
39:20.5,30.800002,47.7,52.283276,No,ON
39:22.0,30.800002,47.7,51.941396,No,ON
39:23.4,30.9,47.8,50.280836,No,ON
39:24.6,30.9,47.7,0,No,ON
39:26.1,30.9,47.7,30.598292,No,ON
39:27.5,30.800002,47.7,39.755804,No,ON
39:28.9,30.9,47.7,38.7057368,No,ON
39:30.4,30.800002,47.7,26.862028,No,ON
39:31.8,30.800002,47.7,30.01221,No,ON
39:33.0,30.9,47.7,0,No,ON
39:34.5,30.9,47.7,0,No,ON
39:35.7,30.9,47.7,0,No,ON
39:37.1,30.9,47.600004,0,No,ON
39:38.4,30.800002,47.600004,52.356536,No,ON
39:39.8,30.9,47.600004,60.02442,No,ON
39:41.8,30.800002,47.7,47.032968,No,ON
39:43.7,30.800002,47.7,56.06838,No,ON
39:45.1,30.800002,47.7,51.721616,No,ON
39:46.3,30.800002,47.600004,57.1917,No,ON
39:47.8,30.800002,47.7,55.067156,No,ON
39:49.1,30.800002,47.600004,57.46032,No,ON
39:50.4,30.800002,47.7,54.065936,No,ON
39:51.9,30.800002,47.600004,51.1599536,No,ON
39:53.6,30.800002,47.600004,60.4151432,No,ON
39:54.7,30.800002,47.600004,53.577536,No,ON
39:56.2,30.9,47.7,59.096464,No,ON
39:57.6,30.800002,47.7,54.114776,No,ON
39:59.0,30.800002,47.7,58.94994,No,ON
40:00.5,30.800002,47.7,58.02198,No,ON
40:01.9,30.800002,47.600004,57.82662,No,ON
40:03.3,30.800002,47.7,58.1685,No,ON
40:04.8,30.800002,47.7,57.58242,No,ON
40:06.0,30.800002,47.7,60.634922,No,ON
40:07.4,30.800002,47.7,73.431016,No,OFF
40:08.7,30.800002,47.7,67.78999,No,ON
40:10.1,30.800002,47.7,66.93529,No,ON
40:11.5,30.800002,47.7,67.17949,No,ON
40:13.0,30.800002,47.7,64.44444,No,ON
40:14.4,30.800002,47.7,76.04396,No,OFF
40:15.6,30.800002,47.7,71.40415,No,OFF
40:17.1,30.800002,47.600004,69.54823,No,OFF
40:18.3,30.800002,47.7,69.96337,No,OFF
40:19.5,30.800002,47.7,69.352872,No,ON
40:20.8,30.800002,47.7,69.890116,No,OFF
40:22.0,30.800002,47.600004,69.52381,No,OFF
40:23.0,30.800002,47.600004,68.81563,No,ON
40:24.2,30.800002,47.600004,68.74237,No,ON
40:25.7,30.800002,47.600004,69.54823,No,OFF
40:27.1,30.800002,47.600004,68.62027,No,ON
40:28.3,30.800002,47.7,68.91331,No,ON
40:29.8,30.800002,47.600004,67.54579,No,ON
40:31.3,30.800002,47.600004,67.570208,No,ON
40:32.6,30.800002,47.600004,79.2674,No,OFF
40:34.0,30.800002,47.600004,84.73749,No,OFF
40:35.3,30.800002,47.600004,80.9768,No,OFF
40:36.7,30.800002,47.7,79.41392,No,OFF
40:38.2,30.800002,47.600004,78.82784,No,OFF
40:39.6,30.800002,47.600004,78.58364,No,OFF
40:40.8,30.800002,47.600004,76.947496,No,OFF
40:42.3,30.800002,47.600004,76.337,No,OFF
40:43.7,30.800002,47.600004,77.60684,No,OFF
40:45.1,30.800002,47.600004,76.4591,No,OFF
40:46.4,30.800002,47.600004,75.409032,No,OFF
40:47.8,30.800002,47.7,75.45788,No,OFF
40:49.0,30.800002,47.600004,74.60318,No,OFF
40:50.5,30.800002,47.600004,74.529912,No,OFF
40:51.9,30.800002,47.7,72.25885,No,OFF
40:53.1,30.800002,47.7,65.29915,No,ON
40:54.5,30.800002,47.7,68.42491,No,ON
40:56.0,30.800002,47.600004,66.22711,No,ON
40:57.2,30.800002,47.600004,66.22711,No,ON
40:58.6,30.800002,47.600004,67.570208,No,ON
41:00.1,30.800002,47.7,65.61661,No,ON
41:01.5,30.800002,47.600004,66.71551,No,ON
41:02.9,30.800002,47.600004,66.78877,No,ON
41:04.4,30.800002,47.7,66.76435,Yes,OFF
41:05.8,30.800002,47.600004,66.42247,Yes,OFF
41:07.2,30.800002,47.7,66.37363,Yes,OFF
41:08.7,30.800002,47.600004,65.10379,Yes,OFF
41:10.1,30.800002,47.600004,65.05495,Yes,OFF
41:11.3,30.800002,47.7,65.73871,Yes,OFF
41:12.8,30.800002,47.600004,64.371184,Yes,OFF
41:14.0,30.800002,47.600004,64.688648,Yes,OFF
41:15.4,30.800002,47.7,63.540904,Yes,OFF
41:16.9,30.800002,47.600004,64.371184,Yes,OFF
41:18.1,30.800002,47.600004,65.0061,Yes,OFF
41:19.5,30.800002,47.600004,64.00488,Yes,OFF
41:21.0,30.800002,47.600004,63.443224,Yes,OFF
41:22.4,30.800002,47.600004,64.61539,Yes,OFF
41:23.8,30.800002,47.600004,64.273508,Yes,OFF
41:25.3,30.800002,47.600004,64.713068,Yes,OFF
41:26.7,30.800002,47.600004,64.713068,No,ON
41:27.9,30.800002,47.600004,64.468868,No,ON
41:29.4,30.800002,47.600004,64.688648,No,ON
41:30.6,30.800002,47.600004,64.932848,No,ON
41:31.8,30.800002,47.600004,64.468868,No,ON
41:33.0,30.800002,47.600004,64.810748,No,ON
41:34.5,30.800002,47.600004,65.64103,No,ON
41:35.9,30.800002,47.600004,64.73749,No,ON
41:37.1,30.800002,47.600004,64.273508,No,ON
41:38.4,30.800002,47.600004,64.810748,No,ON
41:39.8,30.800002,47.600004,64.20025,No,ON
41:41.2,30.800002,47.600004,65.10379,No,ON
41:42.7,30.800002,47.600004,61.636144,No,ON
41:44.3,30.800002,47.600004,62.515268,Yes,OFF
41:46.3,30.800002,47.600004,64.20025,Yes,OFF
41:47.6,30.800002,47.600004,65.128208,Yes,OFF
41:49.0,30.800002,47.600004,75.45788,Yes,OFF
41:50.5,30.800002,47.600004,77.70452,Yes,OFF
41:51.9,30.800002,47.600004,71.74603,Yes,OFF
41:53.3,30.800002,47.600004,66.007324,Yes,OFF
41:54.6,30.800002,47.600004,62.686204,Yes,OFF
41:56.0,30.800002,47.600004,67.91209,Yes,OFF
41:57.4,30.800002,47.600004,64.273508,Yes,OFF
41:58.9,30.800002,47.600004,67.98535,Yes,OFF
42:00.3,30.800002,47.600004,67.17949,Yes,OFF
42:01.7,30.800002,47.600004,65.592184,Yes,OFF
42:03.2,30.800002,47.600004,65.86081,Yes,OFF
42:04.4,30.800002,47.600004,65.98291,Yes,OFF
42:05.6,30.800002,47.600004,63.443224,Yes,OFF
42:06.8,30.800002,47.600004,60.90354,Yes,OFF
42:08.1,30.800002,47.600004,68.32723,Yes,OFF
42:09.5,30.800002,47.600004,77.60684,Yes,OFF
42:10.9,30.800002,47.600004,54.7497,Yes,OFF
42:12.4,30.800002,47.600004,59.780224,Yes,OFF
42:13.8,30.800002,47.600004,58.02198,Yes,OFF
42:15.2,30.800002,47.5,58.217344,Yes,OFF
42:16.7,30.800002,47.5,56.7033,Yes,OFF
42:17.9,30.800002,47.600004,56.63004,Yes,OFF
42:19.3,30.800002,47.600004,56.556778,Yes,OFF
42:20.6,30.800002,47.600004,55.92186,Yes,OFF
42:22.0,30.800002,47.600004,55.92186,Yes,OFF
42:23.4,30.800002,47.5,0,Yes,OFF
42:24.7,30.800002,47.600004,51.8192936,Yes,OFF
42:26.1,30.800002,47.5,62.515268,Yes,OFF
42:27.3,30.800002,47.5,51.965816,Yes,OFF
42:28.6,30.800002,47.600004,56.97192,Yes,OFF
42:30.0,30.800002,47.600004,59.780224,Yes,OFF
42:31.2,30.800002,47.600004,61.660564,Yes,OFF
42:32.6,30.800002,47.600004,75.506712,Yes,OFF
42:33.9,30.800002,47.600004,74.16361,Yes,OFF
42:35.3,30.800002,47.5,68.66911,Yes,OFF
42:36.5,30.800002,47.600004,66.83761,No,ON
42:38.0,30.800002,47.5,66.007324,No,ON
42:39.2,30.800002,47.5,66.007324,No,ON
42:40.4,30.800002,47.5,65.470084,No,ON
42:41.9,30.800002,47.5,65.592184,No,ON
42:43.3,30.800002,47.5,65.22589,No,ON
42:44.7,30.800002,47.5,65.20147,No,ON
42:46.0,30.800002,47.600004,65.372408,No,ON
42:47.4,30.800002,47.5,65.20147,No,ON
42:50.3,30.800002,47.5,64.98169,No,ON
42:51.5,30.800002,47.5,63.980464,No,ON
42:52.9,30.800002,47.600004,65.29915,No,ON
42:54.4,30.800002,47.5,64.73749,No,ON
42:55.8,30.800002,47.5,77.4359,No,OFF
42:57.2,30.800002,47.5,76.14164,No,OFF
42:58.7,30.800002,47.5,74.0171,No,OFF
42:59.9,30.800002,47.5,73.26008,No,OFF
43:01.1,30.800002,47.5,73.45544,No,OFF
43:02.5,30.800002,47.5,72.82051,No,OFF
43:04.0,30.800002,47.5,72.429792,No,OFF
43:05.4,30.800002,47.5,71.81929,No,OFF
43:06.8,30.9,47.600004,71.47742,No,OFF
43:08.3,30.800002,47.5,71.47742,No,OFF
43:09.5,30.800002,47.5,71.50183,No,OFF
43:10.7,30.800002,47.5,71.111112,No,OFF
43:12.0,30.800002,47.5,70.91576,No,OFF
43:13.2,30.800002,47.5,71.13554,No,OFF
43:14.6,30.800002,47.5,70.74481,Yes,OFF
43:15.9,30.800002,47.5,70.30525,Yes,OFF
43:17.3,30.800002,47.5,70.69597,Yes,OFF
43:18.8,30.800002,47.5,0,Yes,OFF
43:20.2,30.800002,47.5,13.284494,Yes,OFF
43:21.4,30.800002,47.5,58.217344,Yes,OFF
43:22.6,30.800002,47.5,0,Yes,OFF
43:24.1,30.800002,47.4,68.69353,Yes,OFF
43:25.3,30.800002,47.5,0,Yes,OFF
43:26.5,30.800002,47.5,0,Yes,OFF
43:27.9,30.800002,47.5,0,Yes,OFF
43:29.2,30.800002,47.5,1.80708184,Yes,OFF
43:30.4,30.800002,47.4,0,Yes,OFF
43:31.8,30.800002,47.5,0,Yes,OFF
43:33.1,30.800002,47.5,0.24420026,Yes,OFF
43:34.5,30.800002,47.5,0,Yes,OFF
43:35.9,30.9,47.5,0,Yes,OFF
43:37.4,30.800002,47.4,0,Yes,OFF
43:38.8,30.800002,47.4,0,Yes,OFF
43:40.0,30.800002,47.5,60.927964,Yes,OFF
43:41.3,30.800002,47.5,54.993896,Yes,OFF
43:42.7,30.800002,47.5,56.04396,Yes,OFF
43:43.7,30.800002,47.5,56.50794,Yes,OFF
43:46.6,30.800002,47.5,44.444448,Yes,OFF
43:47.8,30.800002,47.5,65.17705,Yes,OFF
43:49.2,30.800002,47.5,60.1221,Yes,OFF
43:50.5,30.800002,47.5,58.998784,Yes,OFF
43:51.9,30.800002,47.5,56.84982,No,ON
43:53.3,30.800002,47.5,57.41148,No,ON
43:54.8,30.800002,47.5,57.02076,No,ON
43:56.0,30.800002,47.5,56.26374,No,ON
43:57.4,30.800002,47.5,57.0696,No,ON
43:58.9,30.800002,47.5,57.87546,No,ON
43:59.9,30.800002,47.5,57.53358,No,ON
44:01.1,30.800002,47.5,57.26496,No,ON
44:02.3,30.800002,47.5,57.24054,No,ON
44:03.6,30.800002,47.5,56.36142,No,ON
44:05.0,30.800002,47.5,57.94872,No,ON
44:06.2,30.800002,47.5,57.38706,No,ON
44:07.5,30.800002,47.5,57.4359,No,ON
44:08.9,30.800002,47.5,56.80098,No,ON
44:10.4,30.800002,47.5,55.042736,No,ON
44:11.8,30.800002,47.5,57.02076,No,ON
44:13.2,30.800002,47.5,55.433456,No,ON
44:14.6,30.800002,47.5,54.114776,No,ON
44:15.9,30.800002,47.5,55.8486,No,ON
44:17.1,30.800002,47.5,56.31258,No,ON
44:18.6,30.800002,47.5,55.09158,No,ON
44:20.0,30.800002,47.5,55.14042,No,ON
44:21.5,30.800002,47.5,56.5812,No,ON
44:22.8,30.800002,47.5,54.505496,No,ON
44:24.1,30.800002,47.4,55.726496,No,ON
44:25.5,30.800002,47.5,56.117219,No,ON
44:26.7,30.800002,47.5,55.824176,No,ON
44:27.9,30.800002,47.5,55.6776568,No,ON
44:29.2,30.800002,47.5,55.6776568,No,ON
44:30.4,30.800002,47.5,55.53114,No,ON
44:31.6,30.800002,47.5,55.87302,No,ON
44:33.1,30.800002,47.5,56.63004,No,ON
44:34.5,30.800002,47.5,55.18926,No,ON
44:35.7,30.800002,47.5,55.384616,No,ON
44:37.0,30.800002,47.5,56.214896,No,ON
44:38.4,30.800002,47.5,55.067156,No,ON
44:39.6,30.800002,47.5,54.822956,No,ON
44:41.1,30.800002,47.5,55.555556,No,ON
44:42.3,30.800002,47.5,55.40904,No,ON
44:43.7,30.800002,47.5,55.726496,No,ON
44:45.2,30.800002,47.5,55.87302,No,ON
44:46.6,30.800002,47.5,55.31136,No,ON
44:47.8,30.800002,47.5,54.505496,No,ON
44:49.2,30.800002,47.5,54.31014,No,ON
44:50.7,30.800002,47.5,54.505496,No,ON
44:51.9,30.800002,47.5,54.945056,No,ON
44:53.3,30.800002,47.5,55.62882,No,ON
44:54.8,30.800002,47.5,54.70086,No,ON
44:56.2,30.800002,47.5,55.726496,No,ON
44:57.4,30.800002,47.5,55.14042,No,ON
45:00.1,30.800002,47.5,55.18926,No,ON
45:01.3,30.800002,47.5,53.968256,No,ON
45:03.0,30.800002,47.5,54.554336,No,ON
45:04.2,30.9,47.5,54.188036,No,ON
45:05.6,30.800002,47.5,54.554336,No,ON
